FamilyID,SNR_dB,Metric,MetricLabel,N,Method,MeanRank,MedianRank,FinalMeanRank_N50,MeanRankShiftFromN50
9,10,CNR,CNR,50,TR,1.1,1,1.1,0
10,10,SBR_dB,SBR,10,DAS,5,5,5,0
10,10,SBR_dB,SBR,10,CF-DAS,2,2,2,0
10,10,SBR_dB,SBR,10,SCF-DAS,1,1,1.02,-0.02
10,10,SBR_dB,SBR,10,DMAS,4,4,3.98,0.02
10,10,SBR_dB,SBR,10,DS-DMAS,3,3,3,0
10,10,SBR_dB,SBR,10,TR,6,6,6,0
10,10,SBR_dB,SBR,20,DAS,5,5,5,0
10,10,SBR_dB,SBR,20,CF-DAS,2,2,2,0
10,10,SBR_dB,SBR,20,SCF-DAS,1,1,1.02,-0.02
10,10,SBR_dB,SBR,20,DMAS,4,4,3.98,0.02
10,10,SBR_dB,SBR,20,DS-DMAS,3,3,3,0
10,10,SBR_dB,SBR,20,TR,6,6,6,0
10,10,SBR_dB,SBR,30,DAS,5,5,5,0
10,10,SBR_dB,SBR,30,CF-DAS,2,2,2,0
10,10,SBR_dB,SBR,30,SCF-DAS,1,1,1.02,-0.02
10,10,SBR_dB,SBR,30,DMAS,4,4,3.98,0.02
10,10,SBR_dB,SBR,30,DS-DMAS,3,3,3,0
10,10,SBR_dB,SBR,30,TR,6,6,6,0
10,10,SBR_dB,SBR,40,DAS,5,5,5,0
10,10,SBR_dB,SBR,40,CF-DAS,2,2,2,0
10,10,SBR_dB,SBR,40,SCF-DAS,1,1,1.02,-0.02
10,10,SBR_dB,SBR,40,DMAS,4,4,3.98,0.02
10,10,SBR_dB,SBR,40,DS-DMAS,3,3,3,0
10,10,SBR_dB,SBR,40,TR,6,6,6,0
10,10,SBR_dB,SBR,50,DAS,5,5,5,0
10,10,SBR_dB,SBR,50,CF-DAS,2,2,2,0
10,10,SBR_dB,SBR,50,SCF-DAS,1.02,1,1.02,0
10,10,SBR_dB,SBR,50,DMAS,3.98,4,3.98,0
10,10,SBR_dB,SBR,50,DS-DMAS,3,3,3,0
10,10,SBR_dB,SBR,50,TR,6,6,6,0
11,15,SI_NRMSE,SI-NRMSE,10,DAS,1.6,2,1.36,0.24
11,15,SI_NRMSE,SI-NRMSE,10,CF-DAS,2.1,2.5,2.3,-0.2
11,15,SI_NRMSE,SI-NRMSE,10,SCF-DAS,6,6,6,0
11,15,SI_NRMSE,SI-NRMSE,10,DMAS,4,4,4,0
11,15,SI_NRMSE,SI-NRMSE,10,DS-DMAS,5,5,5,0
11,15,SI_NRMSE,SI-NRMSE,10,TR,2.3,2.5,2.34,-0.04
11,15,SI_NRMSE,SI-NRMSE,20,DAS,1.55,2,1.36,0.19
11,15,SI_NRMSE,SI-NRMSE,20,CF-DAS,2.25,3,2.3,-0.0499999999999998
11,15,SI_NRMSE,SI-NRMSE,20,SCF-DAS,6,6,6,0
11,15,SI_NRMSE,SI-NRMSE,20,DMAS,4,4,4,0
11,15,SI_NRMSE,SI-NRMSE,20,DS-DMAS,5,5,5,0
11,15,SI_NRMSE,SI-NRMSE,20,TR,2.2,2,2.34,-0.14
11,15,SI_NRMSE,SI-NRMSE,30,DAS,1.43333333333333,1,1.36,0.0733333333333333
11,15,SI_NRMSE,SI-NRMSE,30,CF-DAS,2.36666666666667,3,2.3,0.0666666666666669
11,15,SI_NRMSE,SI-NRMSE,30,SCF-DAS,6,6,6,0
11,15,SI_NRMSE,SI-NRMSE,30,DMAS,4,4,4,0
11,15,SI_NRMSE,SI-NRMSE,30,DS-DMAS,5,5,5,0
11,15,SI_NRMSE,SI-NRMSE,30,TR,2.2,2,2.34,-0.14
11,15,SI_NRMSE,SI-NRMSE,40,DAS,1.375,1,1.36,0.0149999999999999
11,15,SI_NRMSE,SI-NRMSE,40,CF-DAS,2.3,3,2.3,0
11,15,SI_NRMSE,SI-NRMSE,40,SCF-DAS,6,6,6,0
11,15,SI_NRMSE,SI-NRMSE,40,DMAS,4,4,4,0
11,15,SI_NRMSE,SI-NRMSE,40,DS-DMAS,5,5,5,0
11,15,SI_NRMSE,SI-NRMSE,40,TR,2.325,2,2.34,-0.0149999999999997
11,15,SI_NRMSE,SI-NRMSE,50,DAS,1.36,1,1.36,0
11,15,SI_NRMSE,SI-NRMSE,50,CF-DAS,2.3,2.5,2.3,0
11,15,SI_NRMSE,SI-NRMSE,50,SCF-DAS,6,6,6,0
11,15,SI_NRMSE,SI-NRMSE,50,DMAS,4,4,4,0
11,15,SI_NRMSE,SI-NRMSE,50,DS-DMAS,5,5,5,0
11,15,SI_NRMSE,SI-NRMSE,50,TR,2.34,2.5,2.34,0
12,15,Correlation,Correlation,10,DAS,1.4,1,1.3,0.0999999999999999
12,15,Correlation,Correlation,10,CF-DAS,2.3,2.5,2.48,-0.18
12,15,Correlation,Correlation,10,SCF-DAS,6,6,6,0
12,15,Correlation,Correlation,10,DMAS,4,4,4,0
12,15,Correlation,Correlation,10,DS-DMAS,5,5,5,0
12,15,Correlation,Correlation,10,TR,2.3,2.5,2.22,0.0799999999999996
12,15,Correlation,Correlation,20,DAS,1.35,1,1.3,0.05
12,15,Correlation,Correlation,20,CF-DAS,2.45,3,2.48,-0.0299999999999998
12,15,Correlation,Correlation,20,SCF-DAS,6,6,6,0
12,15,Correlation,Correlation,20,DMAS,4,4,4,0
12,15,Correlation,Correlation,20,DS-DMAS,5,5,5,0
12,15,Correlation,Correlation,20,TR,2.2,2,2.22,-0.02
12,15,Correlation,Correlation,30,DAS,1.33333333333333,1,1.3,0.0333333333333332
12,15,Correlation,Correlation,30,CF-DAS,2.56666666666667,3,2.48,0.0866666666666669
12,15,Correlation,Correlation,30,SCF-DAS,6,6,6,0
12,15,Correlation,Correlation,30,DMAS,4,4,4,0
12,15,Correlation,Correlation,30,DS-DMAS,5,5,5,0
12,15,Correlation,Correlation,30,TR,2.1,2,2.22,-0.12
12,15,Correlation,Correlation,40,DAS,1.3,1,1.3,0
12,15,Correlation,Correlation,40,CF-DAS,2.5,3,2.48,0.02
12,15,Correlation,Correlation,40,SCF-DAS,6,6,6,0
12,15,Correlation,Correlation,40,DMAS,4,4,4,0
12,15,Correlation,Correlation,40,DS-DMAS,5,5,5,0
12,15,Correlation,Correlation,40,TR,2.2,2,2.22,-0.02
12,15,Correlation,Correlation,50,DAS,1.3,1,1.3,0
12,15,Correlation,Correlation,50,CF-DAS,2.48,3,2.48,0
12,15,Correlation,Correlation,50,SCF-DAS,6,6,6,0
12,15,Correlation,Correlation,50,DMAS,4,4,4,0
12,15,Correlation,Correlation,50,DS-DMAS,5,5,5,0
12,15,Correlation,Correlation,50,TR,2.22,2,2.22,0
13,15,SSIM,SSIM,10,DAS,4.5,4.5,4.46,0.04
13,15,SSIM,SSIM,10,CF-DAS,2.6,3,2.64,-0.04
13,15,SSIM,SSIM,10,SCF-DAS,1,1,1,0
13,15,SSIM,SSIM,10,DMAS,6,6,6,0
13,15,SSIM,SSIM,10,DS-DMAS,2.4,2,2.36,0.04
13,15,SSIM,SSIM,10,TR,4.5,4.5,4.54,-0.04
13,15,SSIM,SSIM,20,DAS,4.5,4.5,4.46,0.04
13,15,SSIM,SSIM,20,CF-DAS,2.65,3,2.64,0.00999999999999979
13,15,SSIM,SSIM,20,SCF-DAS,1,1,1,0
13,15,SSIM,SSIM,20,DMAS,6,6,6,0
