FamilyID,SNR_dB,Metric,MetricLabel,MethodA,MethodB,MedianDelta_AminusB_Raw,RawMedianCI95_Low,RawMedianCI95_High,MedianDelta_Oriented,OrientedMedianCI95_Low,OrientedMedianCI95_High,P_Wilcoxon_Raw,RankBiserial,Seeds_A_Better,Seeds_B_Better,Seeds_Tied,P_Wilcoxon_Holm15,Significant_Holm15,P_Wilcoxon_Holm375,Significant_Holm375,OmnibusSignificant_Holm25,PrimaryPairwiseSignificant
7,10,Correlation,Correlation,SCF-DAS,DMAS,-0.193578383247525,-0.202054478179357,-0.182925420046295,-0.193578383247525,-0.202054478179357,-0.182925420046295,7.55692945586362e-10,-1,0,50,0,1.13353941837954e-08,1,2.83384854594886e-07,1,1,1
7,10,Correlation,Correlation,SCF-DAS,DS-DMAS,-0.046479877266969,-0.048881822253295,-0.0429685859607995,-0.046479877266969,-0.048881822253295,-0.0429685859607995,7.55692945586362e-10,-1,0,50,0,1.13353941837954e-08,1,2.83384854594886e-07,1,1,1
7,10,Correlation,Correlation,SCF-DAS,TR,-0.405813445955982,-0.411170243639858,-0.403605604438695,-0.405813445955982,-0.411170243639858,-0.403605604438695,7.55692945586362e-10,-1,0,50,0,1.13353941837954e-08,1,2.83384854594886e-07,1,1,1
7,10,Correlation,Correlation,DMAS,DS-DMAS,0.150500293753716,0.14074397618198,0.159143300551532,0.150500293753716,0.14074397618198,0.159143300551532,7.55692945586362e-10,1,50,0,0,1.13353941837954e-08,1,2.83384854594886e-07,1,1,1
7,10,Correlation,Correlation,DMAS,TR,-0.209079558509471,-0.224398094361426,-0.202784397280724,-0.209079558509471,-0.224398094361426,-0.202784397280724,7.55692945586362e-10,-1,0,50,0,1.13353941837954e-08,1,2.83384854594886e-07,1,1,1
7,10,Correlation,Correlation,DS-DMAS,TR,-0.360388144875694,-0.367173059135625,-0.354867610830165,-0.360388144875694,-0.367173059135625,-0.354867610830165,7.55692945586362e-10,-1,0,50,0,1.13353941837954e-08,1,2.83384854594886e-07,1,1,1
8,10,SSIM,SSIM,DAS,CF-DAS,-0.338429271563893,-0.349705868623397,-0.324840058112114,-0.338429271563893,-0.349705868623397,-0.324840058112114,7.55692945586362e-10,-1,0,50,0,1.13353941837954e-08,1,2.83384854594886e-07,1,1,1
8,10,SSIM,SSIM,DAS,SCF-DAS,-0.367636108028312,-0.374891870504732,-0.355074505832617,-0.367636108028312,-0.374891870504732,-0.355074505832617,7.55692945586362e-10,-1,0,50,0,1.13353941837954e-08,1,2.83384854594886e-07,1,1,1
8,10,SSIM,SSIM,DAS,DMAS,0.0562828924544385,0.0466245404734515,0.064278782302655,0.0562828924544385,0.0466245404734515,0.064278782302655,8.03109090704699e-10,0.99843137254902,49,1,0,1.13353941837954e-08,1,2.83384854594886e-07,1,1,1
8,10,SSIM,SSIM,DAS,DS-DMAS,-0.345214883166861,-0.352794145752178,-0.333782709471318,-0.345214883166861,-0.352794145752178,-0.333782709471318,7.55692945586362e-10,-1,0,50,0,1.13353941837954e-08,1,2.83384854594886e-07,1,1,1
8,10,SSIM,SSIM,DAS,TR,-0.0898892496454829,-0.095431941982851,-0.0786474310067092,-0.0898892496454829,-0.095431941982851,-0.0786474310067092,7.55692945586362e-10,-1,0,50,0,1.13353941837954e-08,1,2.83384854594886e-07,1,1,1
8,10,SSIM,SSIM,CF-DAS,SCF-DAS,-0.0284873753223625,-0.028967451764175,-0.0270022730197315,-0.0284873753223625,-0.028967451764175,-0.0270022730197315,7.55692945586362e-10,-1,0,50,0,1.13353941837954e-08,1,2.83384854594886e-07,1,1,1
8,10,SSIM,SSIM,CF-DAS,DMAS,0.398947792907124,0.375802941492796,0.412392700995883,0.398947792907124,0.375802941492796,0.412392700995883,7.55692945586362e-10,1,50,0,0,1.13353941837954e-08,1,2.83384854594886e-07,1,1,1
8,10,SSIM,SSIM,CF-DAS,DS-DMAS,-0.00550896576140103,-0.00649520241774254,-0.00376857512268802,-0.00550896576140103,-0.00649520241774254,-0.00376857512268802,8.02029719177543e-06,-0.725490196078431,7,43,0,8.02029719177543e-06,1,0.00019248713260261,1,1,1
8,10,SSIM,SSIM,CF-DAS,TR,0.249523765932856,0.247628402742411,0.250893855204883,0.249523765932856,0.247628402742411,0.250893855204883,7.55692945586362e-10,1,50,0,0,1.13353941837954e-08,1,2.83384854594886e-07,1,1,1
8,10,SSIM,SSIM,SCF-DAS,DMAS,0.429055344468254,0.403016903640283,0.440190240748246,0.429055344468254,0.403016903640283,0.440190240748246,7.55692945586362e-10,1,50,0,0,1.13353941837954e-08,1,2.83384854594886e-07,1,1,1
8,10,SSIM,SSIM,SCF-DAS,DS-DMAS,0.0225998449872995,0.022116862851559,0.0243984019728205,0.0225998449872995,0.022116862851559,0.0243984019728205,7.55692945586362e-10,1,50,0,0,1.13353941837954e-08,1,2.83384854594886e-07,1,1,1
8,10,SSIM,SSIM,SCF-DAS,TR,0.277731624131189,0.275967479828979,0.278499989990993,0.277731624131189,0.275967479828979,0.278499989990993,7.55692945586362e-10,1,50,0,0,1.13353941837954e-08,1,2.83384854594886e-07,1,1,1
8,10,SSIM,SSIM,DMAS,DS-DMAS,-0.406575981546189,-0.417846532156155,-0.382382013423285,-0.406575981546189,-0.417846532156155,-0.382382013423285,7.55692945586362e-10,-1,0,50,0,1.13353941837954e-08,1,2.83384854594886e-07,1,1,1
8,10,SSIM,SSIM,DMAS,TR,-0.147179853224898,-0.165494699576573,-0.132774794545701,-0.147179853224898,-0.165494699576573,-0.132774794545701,7.55692945586362e-10,-1,0,50,0,1.13353941837954e-08,1,2.83384854594886e-07,1,1,1
8,10,SSIM,SSIM,DS-DMAS,TR,0.253930665685995,0.252440341996616,0.255782255122006,0.253930665685995,0.252440341996616,0.255782255122006,7.55692945586362e-10,1,50,0,0,1.13353941837954e-08,1,2.83384854594886e-07,1,1,1
9,10,CNR,CNR,DAS,CF-DAS,1.08357283363542,1.02850569711483,1.11494343742049,1.08357283363542,1.02850569711483,1.11494343742049,7.55692945586362e-10,1,50,0,0,1.13353941837954e-08,1,2.83384854594886e-07,1,1,1
9,10,CNR,CNR,DAS,SCF-DAS,1.82403244342019,1.80292386793054,1.87097765474372,1.82403244342019,1.80292386793054,1.87097765474372,7.55692945586362e-10,1,50,0,0,1.13353941837954e-08,1,2.83384854594886e-07,1,1,1
